"Index","Quantité","Référence","Référence fabricant","Description","Référence client","Disponible","Articles différés","Prix unitaire","Prix calculé EUR"
"1","10","399-C0805C104K5RACTUCT-ND","C0805C104K5RACTU","CAP CER 0.1UF 50V X7R 0805","","10","0","0,01400","0,14"
"2","5","399-C0805C475K3RACTUCT-ND","C0805C475K3RACTU","CAP CER 4.7UF 25V X7R 0805","","5","0","0,50000","2,50"
"3","10","399-11939-1-ND","C0805C106K3PACTU","CAP CER 10UF 25V X5R 0805","","10","0","0,10700","1,07"
"4","10","1080-1415-1-ND","QTLP650C4TR/FC15-21SYGC/S530-E2/TR8","LED GREEN CLEAR 1206 SMD","","10","0","0,08100","0,81"
"5","3","HS380-ND","530002B02500G","HEATSINK TO-220 POWER W/PINS BK","","3","0","2,63000","7,89"
"6","5","2073-USB4125-GF-ACT-ND","USB4125-GF-A","CONN RCPT TYPE C 6P SMD RA","","5","0","0,48000","2,40"
"7","5","497-2415-5-ND","BTA16-600CWRG","TRIAC ALTERNISTOR 600V 16A TO220","","5","0","1,61000","8,05"
"8","10","13-CFR-50JB-52-1K1-ND","CFR-50JB-52-1K1","RES 1.1K OHM 5% 1/2W AXIAL","","10","0","0,03900","0,39"
"9","10","P1.8KDACT-ND","ERA-6AEB182V","RES SMD 1.8K OHM 0.1% 1/8W 0805","","10","0","0,05200","0,52"
"10","15","541-110CCT-ND","CRCW0805110RFKEA","RES SMD 110 OHM 1% 1/4W 0805","","15","0","0,03500","0,53"
"11","10","541-10.0KCCT-ND","CRCW080510K0FKEA","RES SMD 10K OHM 1% 1/4W 0805","","10","0","0,03500","0,35"
"12","10","541-5.10KCCT-ND","CRCW08055K10FKEA","RES SMD 5.1K OHM 1% 1/4W 0805","","10","0","0,03500","0,35"
"13","5","283-NRBG105F3950B1F-ND","NRBG105F3950B1F","NTC 100K 3950K BETA 25/50 1%","","5","0","0,48200","2,41"
"14","5","MOC3063M-ND","MOC3063M","OPTOISOLTR 4.17KV TRIAC 1CH 6DIP","","5","0","0,90000","4,50"
"15","10","497-STM32C011F6P6-ND","STM32C011F6P6","IC MCU 32BIT 32KB FLASH 20TSSOP","","10","0","0,55500","5,55"
"16","10","497-STM32C031F6P6-ND","STM32C031F6P6","IC MCU 32BIT 32KB FLASH 20TSSOP","","10","0","0,66300","6,63"
"17","10","497-1242-1-ND","LD1117S33TR","IC REG LINEAR 3.3V 800MA SOT-223","","10","0","0,20300","2,03"
"18","10","495-6496-ND","B72214S0231K101","VARISTOR 360V 4.5KA DISC 14MM","","10","0","0,21900","2,19"

